data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,LENC-CART:4_f,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,QUANTILE-RIPPERexception,QUANTILE-BRCGexception,LENC-CART:*exception,TREES2-BRCG2exception,TREES-BRCG2exception,TREES-BRCGexception,LENC-CART:4exception,NATIVE-RIPPERexception,NATIVE-RIPPER2exception,NATIVE-RIPPER3exception,TREES-RIPPERexception
synth_conj1_3,100000,5,4,0,6430,0.0643,other,synthetic,4.0,0.54,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,7.56,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,4.0,4.0,10.74,1.0,1.0,1.0,1.0,1.0,1.0,6.0,14.0,4.0,2.33,10.83,1.0,1.0,1.0,1.0,1.0,1.0,6.0,14.0,4.0,2.33,0.4,1.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,4.0,4.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,0.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,72.0,2.34,0.94,0.09,0.09,1.0,0.11,0.16,1.0,4.0,4.0,4.0,7713.75,0.96,0.47,0.48,0.77,0.52,0.59,1.0,1.0,1.0,1.0,4.34,0.95,0.21,0.21,1.0,0.25,0.34,6.0,24.0,4.0,4.0,1.4,1.0,0.98,0.98,1.0,0.99,0.99,1.0,4.0,4.0,4.0,3.97,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,4.0,4.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,4.0,4.0,1.0,0.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,,,,,,,,
synth_conj1_4,100000,6,5,0,3039,0.0304,other,synthetic,5.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,5.0,4.0,0.08,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,5.0,4.0,12.0,0.22,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.91,1.0,1.0,1.0,1.0,1.0,1.0,4.0,11.0,5.0,2.75,6.83,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,5.0,3.5,6.88,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,5.0,3.5,0.37,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.97,0.97,1.0,0.49,0.83,0.66,1.0,4.0,4.0,4.0,14.0,0.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,0.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,90.0,0.52,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,420.48,0.97,0.48,0.49,0.58,0.5,0.53,1.0,1.0,1.0,1.0,2.78,0.97,0.04,0.04,1.0,0.05,0.08,2.0,10.0,5.0,5.0,17.74,1.0,0.99,0.99,1.0,0.99,0.99,9.0,64.0,8.0,7.11,5.89,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.39,0.97,0.97,1.0,0.49,0.83,0.66,2.0,6.0,4.0,3.0,0.08,0.97,0.97,1.0,0.49,0.83,2.0,7.0,4.0,3.5,,,,,,,,,,,
synth_conj1_5,100000,7,6,0,1600,0.016,other,synthetic,6.0,0.57,1.0,0.99,0.99,1.0,0.99,0.99,0.08,1.0,0.99,0.99,1.0,0.99,1.0,1.0,6.0,6.0,6.0,0.08,1.0,0.99,0.99,1.0,0.99,1.0,1.0,6.0,6.0,6.0,8.0,0.2,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.15,1.0,0.98,0.98,1.0,0.98,0.99,5.0,18.0,6.0,3.6,22.1,1.0,0.98,0.98,1.0,0.98,0.99,8.0,20.0,6.0,2.5,22.22,1.0,0.98,0.98,1.0,0.98,0.99,8.0,20.0,6.0,2.5,0.31,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.39,0.98,0.97,0.99,0.47,0.81,0.64,1.0,5.0,5.0,5.0,0.26,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.5,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7509.6,0.99,0.34,0.35,0.67,0.38,0.46,1.0,1.0,1.0,1.0,0.5,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,930.41,1.0,0.97,0.97,1.0,0.98,0.98,4.0,31.0,9.0,7.75,8.43,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.95,0.94,0.99,0.23,0.59,0.37,1.0,4.0,4.0,4.0,0.08,0.99,0.0,0.0,1.0,0.0,,,,,,,,,,,export,,,,
synth_conj1_6,100000,8,7,0,828,0.0083,other,synthetic,7.0,0.8,1.0,0.98,0.98,1.0,0.99,0.99,0.09,0.99,0.98,0.98,0.52,0.83,0.68,2.0,11.0,6.0,5.5,0.09,1.0,0.98,0.98,1.0,0.99,0.99,4.0,28.0,9.0,7.0,10.0,0.21,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.03,1.0,0.97,0.97,1.0,0.98,0.99,5.0,15.0,7.0,3.0,608.21,1.0,0.96,0.96,1.0,0.97,0.98,7.0,24.0,7.0,3.43,25.49,1.0,0.96,0.96,1.0,0.97,0.98,7.0,24.0,7.0,3.43,0.37,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.27,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.61,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,419.93,0.99,0.14,0.15,0.64,0.17,0.24,1.0,1.0,1.0,1.0,0.56,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,1.0,0.99,0.99,0.97,0.99,0.98,6.0,60.0,12.0,10.0,11.68,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.95,0.93,0.98,0.12,0.41,0.22,1.0,4.0,4.0,4.0,0.09,0.99,0.0,0.0,1.0,0.0,,,,,,,,,,,export,,,,
synth_conj1_7,100000,9,8,0,379,0.0038,other,synthetic,8.0,0.83,1.0,0.97,0.97,1.0,0.97,0.98,0.13,1.0,-0.0,0.0,0.0,0.0,0.0,3.0,14.0,6.0,4.67,0.14,1.0,0.9,0.9,0.99,0.91,0.94,10.0,79.0,12.0,7.9,14.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.29,1.0,0.92,0.92,1.0,0.94,0.96,7.0,26.0,8.0,3.71,11.06,1.0,0.84,0.84,1.0,0.86,0.91,1.0,8.0,8.0,8.0,11.12,1.0,0.84,0.84,1.0,0.86,0.91,1.0,8.0,8.0,8.0,0.46,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4223.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,1.0,0.99,0.99,0.97,0.99,0.98,5.0,43.0,10.0,8.6,15.17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.88,0.86,0.97,0.03,0.14,0.06,2.0,7.0,4.0,3.5,0.13,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,,,,,,,,,,,
synth_conj1_8,100000,10,9,0,184,0.0018,other,synthetic,9.0,0.98,1.0,0.89,0.89,1.0,0.91,0.94,0.21,1.0,-0.0,0.0,0.0,0.0,0.0,5.0,20.0,6.0,4.0,0.21,1.0,0.75,0.75,0.85,0.77,0.8,11.0,70.0,10.0,6.36,18.0,0.28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.3,1.0,0.58,0.58,1.0,0.64,0.74,1.0,9.0,9.0,9.0,20.65,1.0,0.89,0.89,1.0,0.91,0.94,4.0,22.0,9.0,5.5,21.48,1.0,0.89,0.89,1.0,0.91,0.94,4.0,22.0,9.0,5.5,0.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.45,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.68,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69,1.0,0.92,0.92,0.96,0.93,0.94,7.0,59.0,10.0,8.43,19.74,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.9,0.78,0.89,0.02,0.07,0.03,3.0,9.0,4.0,3.0,0.2,1.0,-0.0,0.0,0.0,0.0,3.0,9.0,4.0,3.0,,,,,,,,,,,
synth_conj1_9,100000,11,10,0,89,0.0009,other,synthetic,10.0,1.04,1.0,0.73,0.73,1.0,0.77,0.84,0.16,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,6.0,4.0,0.19,1.0,0.23,0.23,0.3,0.24,0.26,24.0,272.0,18.0,11.33,8.0,0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1102.82,1.0,0.54,0.54,1.0,0.59,0.7,5.0,39.0,11.0,7.8,12.4,1.0,0.23,0.23,1.0,0.27,0.38,1.0,10.0,10.0,10.0,16.19,1.0,0.23,0.23,1.0,0.27,0.38,1.0,10.0,10.0,10.0,0.38,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.72,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31,1.0,0.73,0.73,0.83,0.75,0.78,6.0,55.0,11.0,9.17,27.47,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.77,0.69,0.92,0.0,0.02,0.01,1.0,2.0,2.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,2.0,6.0,4.0,3.0,,,,,,,,,,,
synth_conj_0,50000,2,1,0,24835,0.4967,other,synthetic,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.34,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,207.31,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.35,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
synth_conj_1,50000,3,2,0,25200,0.504,other,synthetic,2.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.54,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.53,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,36.0,3.68,0.99,0.98,0.98,1.0,0.98,0.99,1.0,2.0,2.0,2.0,1209.47,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,603.99,0.99,0.98,0.98,1.0,0.98,0.99,1.0,2.0,2.0,2.0,0.26,0.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.99,0.98,0.98,1.0,0.98,0.99,1.0,2.0,2.0,2.0,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
synth_conj_2,50000,4,3,0,24926,0.4985,other,synthetic,3.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,0.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.11,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,1.07,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,1.07,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,54.0,1.77,0.99,0.98,1.0,0.98,1.0,0.99,1.0,3.0,3.0,3.0,3545.93,0.99,0.98,1.0,0.98,1.0,0.99,3.0,9.0,3.0,3.0,1.8,0.99,0.98,1.0,0.98,1.0,0.99,1.0,3.0,3.0,3.0,0.47,0.99,0.98,1.0,0.98,1.0,0.99,1.0,3.0,3.0,3.0,0.88,0.93,0.85,1.0,0.87,0.97,0.93,2.0,6.0,3.0,3.0,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,
synth_conj_3,50000,5,4,0,24984,0.4997,other,synthetic,4.0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.17,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,4.0,2.67,2.47,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,4.0,2.67,2.61,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,4.0,2.67,0.19,1.0,1.0,1.0,1.0,1.0,1.0,4.0,16.0,4.0,4.0,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,72.0,4.34,0.91,0.82,0.82,1.0,0.85,0.9,1.0,4.0,4.0,4.0,218.47,0.99,0.98,1.0,0.98,0.99,0.99,5.0,20.0,4.0,4.0,6.17,0.91,0.82,0.82,1.0,0.85,0.9,1.0,4.0,4.0,4.0,4.9,0.9,0.81,0.84,0.97,0.86,0.9,14.0,140.0,14.0,10.0,1.32,0.83,0.66,0.91,0.78,0.88,0.84,2.0,6.0,3.0,3.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,4.0,4.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,3.0,12.0,4.0,4.0,1.0,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,,,,,,,,,,,
